[2026-09-22 15:07:16.996] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:b04a95c3c2eb9c356dd20077:1c8b72f28c2878a6f7992e08696f9816:a0ca9b68728ceab778c66f73a9b7e4d472670a2a32f2f82fc80bea47e2455b23]"
[2026-09-22 15:07:17.115] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:1ea9f210d45e1db8267cde25:040febe5f807af6b8037d7c30d77af0a:7ec5522143f4c8e8192112fc45ac134a9965065a3676a187d0f88cac423b2cd4]"
[2026-09-22 15:07:17.218] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:b6cb7960b1c2d0fef7cda9a0:7317b5d6192bcabec5cd47449f90939c:183c923ec0d40d51d095f68026fa8ef5ba1dfbe1ce141465a5ab949ccc9ddce4]"
[2026-09-22 15:07:17.342] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:2f4c781b67636dfa62579723:225530af333000d0ad96daf30c461714:ffc013332d7ca0ba236023cce69881c08f7cb3416a214ef57f95b7afadf14290]"
[2026-09-22 15:07:17.452] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:6fa420c855fef9f68d3fe19a:15e6968cb156e0f2940c53f2416a4c5c:78c225104ec6f64534fbce3107664be814a05e157c1ff82a3479a90506b7e8f3]"
[2026-09-22 15:07:17.551] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:9e6cc099d8c9a5b1942fcd15:7c54fbde47fe73754475625325748b52:f38b1d564ba368cb95c583a8317ed9bf3a5e21ec4ab55bd0289ecc35697c5e8a]"
[2026-09-22 15:07:17.662] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:d316ea299272635a342ee97d:160e74de7e44df4e8b0135156cbc486a:6c3fba943ba5c774916c42cb767c04be8fd24ca80364ff555848fc9e365e1788]"
[2026-09-22 15:07:17.783] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:c7891aa25f5207b74189ba91:37447cda49bf60528eb6c476023e2add:78bbf7c4e96a01969c725397fce66e074d0e38bd9796ce536843b82ccf68054f]"
[2026-09-22 15:07:17.881] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:2967440e09f5c37e66bcbc2f:0c01a48537df90ddb73cab5918401e00:cbaed02fd45d8235b7eca968ed9e9750a4f2d3e9e7031834a30465eb797f9cfe]"
[2026-09-22 15:07:17.995] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:6a957afd5b64a334c2ba7bac:d44eed5ed51675e6d4a4fb6e91e19d74:2e30c4123a2f27d37515ae486bb8a347fe01dc1c123de07f0945edeaa8ee331d]"
[2026-09-22 15:07:18.117] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:a48020457ec4b4f5532ab726:1d0ff2db50c9db828c8f13bbb742d98e:609af3ef6b01c167c39eaa090ff4e89d7556a747ca4dba90f2664c49d54d2b74]"
[2026-09-22 15:07:18.220] [debug] [serialport] event=serialport.packet status=success boardName=board1 length=10 message="[RAW:ENC:HASTE_ENC:d4c5f4b7f37c60e448a1f17b:902c1f7256395ad0f7dd77454499f3ad:08f1567e92b125e178f781671d4404e1328f6d7d251d5b4660c4cd8b8bc16fa6]"
